"","Block_y","Tract","BID","Pdamage_avg","inv_dist_avg","Pdamage_PR","Efficiency_PR","SVI_PR_total","metric_sum","metric_PR","metric_wosvi_sum","metric_wosvi_PR"
"58",1025,515,1025515,0,0.0184104308029099,0.327319587628866,0.407216494845361,0.804123711340206,0.512886597938144,0.577319587628866,0.367268041237113,0.314432989690722
"59",1025,516,1025516,6.66666666666667e-08,0.0212830198375989,0.724226804123711,0.376288659793814,0.881443298969072,0.660652920962199,0.814432989690722,0.550257731958763,0.662371134020619
"60",1026,514,1026514,0.169851186,0.00362176335627663,0.979381443298969,0.95360824742268,0.448453608247423,0.793814432989691,0.907216494845361,0.966494845360825,0.994845360824742
"61",1026,515,1026515,0,0.0335138143450328,0.327319587628866,0.195876288659794,0.871134020618557,0.464776632302406,0.515463917525773,0.26159793814433,0.15979381443299
"62",1026,516,1026516,0,0.0224974721941355,0.327319587628866,0.345360824742268,0.95360824742268,0.542096219931272,0.61340206185567,0.336340206185567,0.262886597938144
"63",1027,515,1027515,0,0.0491327076198677,0.327319587628866,0.0824742268041237,0.304123711340206,0.237972508591065,0.0567010309278351,0.204896907216495,0.077319587628866
"64",1027,516,1027516,0,0.0234294965142408,0.327319587628866,0.319587628865979,0.402061855670103,0.349656357388316,0.234536082474227,0.323453608247423,0.252577319587629
"65",1028,515,1028515,0,0.0686745245968392,0.327319587628866,0.0412371134020619,0.768041237113402,0.378865979381443,0.309278350515464,0.184278350515464,0.0412371134020619
"66",2000,514,2000514,0.0001210375,0.0104618513040624,0.768041237113402,0.639175257731959,0.525773195876289,0.644329896907217,0.788659793814433,0.70360824742268,0.770618556701031
"67",2000,515,2000515,0.09139247,0.0160128205128205,0.93298969072165,0.474226804123711,0.822164948453608,0.743127147766323,0.871134020618557,0.70360824742268,0.770618556701031
"68",2001,514,2001514,0,0.0111389267901493,0.327319587628866,0.603092783505155,0.11340206185567,0.347938144329897,0.221649484536082,0.46520618556701,0.510309278350515
"69",2001,515,2001515,0.1042896,0.0048076923076923,0.958762886597938,0.948453608247423,0.974226804123711,0.960481099656357,0.994845360824742,0.95360824742268,0.989690721649485
"70",2002,515,2002515,0.0617580533333333,0.00959583056196071,0.912371134020619,0.670103092783505,0.654639175257732,0.745704467353952,0.876288659793814,0.791237113402062,0.814432989690722
"71",2002,516,2002516,0.005020818,0.0105029916530228,0.814432989690722,0.634020618556701,0.54639175257732,0.664948453608247,0.819587628865979,0.724226804123711,0.783505154639175
"72",2003,514,2003514,0,0.00945872244791507,0.327319587628866,0.680412371134021,0.56701030927835,0.524914089347079,0.592783505154639,0.503865979381443,0.587628865979381
"73",2003,515,2003515,0.00212658,0.013480739813656,0.783505154639175,0.561855670103093,0.747422680412371,0.697594501718213,0.835051546391753,0.672680412371134,0.762886597938144
"74",2003,516,2003516,0.00037881,0,0.77319587628866,0.981958762886598,0.958762886597938,0.904639175257732,0.974226804123711,0.877577319587629,0.917525773195876
"75",2004,514,2004514,0,0.0171506352087114,0.327319587628866,0.43298969072165,0.518041237113402,0.426116838487973,0.391752577319588,0.380154639175258,0.335051546391753
"76",2004,515,2004515,2.72727272727273e-08,0.0229287278958347,0.690721649484536,0.335051546391753,0.237113402061856,0.420962199312715,0.371134020618557,0.512886597938144,0.597938144329897
"77",2004,516,2004516,0.09173235875,0.00595083451424972,0.938144329896907,0.938144329896907,0.775773195876289,0.884020618556701,0.969072164948454,0.938144329896907,0.984536082474227
"78",2005,514,2005514,0,0.0151515151515152,0.327319587628866,0.510309278350515,0.484536082474227,0.440721649484536,0.438144329896907,0.418814432989691,0.407216494845361
"79",2005,515,2005515,1.25e-08,0.0245023269413513,0.65979381443299,0.288659793814433,0.505154639175258,0.484536082474227,0.541237113402062,0.474226804123711,0.525773195876289
"80",2005,516,2005516,0.0473461830769231,0.0140436287539762,0.902061855670103,0.525773195876289,0.788659793814433,0.738831615120275,0.860824742268041,0.713917525773196,0.778350515463918
"81",2006,515,2006515,0,0.0297413793103449,0.327319587628866,0.237113402061856,0.350515463917526,0.304982817869416,0.139175257731959,0.282216494845361,0.185567010309278
"82",2006,516,2006516,0,0.0168126602855838,0.327319587628866,0.448453608247423,0.381443298969072,0.38573883161512,0.324742268041237,0.387886597938144,0.350515463917526
"83",2007,515,2007515,2.5e-08,0.0351388215982255,0.68298969072165,0.15979381443299,0.242268041237113,0.361683848797251,0.265463917525773,0.42139175257732,0.422680412371134
"84",2007,516,2007516,0.00419580428571429,0.0175834562176154,0.804123711340206,0.417525773195876,0.134020618556701,0.451890034364261,0.489690721649485,0.610824742268041,0.737113402061856
"85",2008,515,2008515,5e-08,0.0370879120879121,0.706185567010309,0.139175257731959,0.814432989690722,0.553264604810997,0.628865979381443,0.422680412371134,0.43298969072165
"86",2008,516,2008516,0,0.0189016076516077,0.327319587628866,0.396907216494845,0.876288659793814,0.533505154639175,0.597938144329897,0.362113402061856,0.304123711340206
"87",2009,514,2009514,0,0.0153785963645119,0.327319587628866,0.494845360824742,0.979381443298969,0.600515463917526,0.711340206185567,0.411082474226804,0.391752577319588
