"","dist_F7413","dist_F7537","dist_F9689","RID","min_dist","min_FID","min_inv_dist","Block_y","Tract","BID"
"55",Inf,Inf,Inf,8086,Inf,"7413",0,1005,514,"1005514"
"56",Inf,Inf,Inf,7726,Inf,"7413",0,1005,514,"1005514"
"57",Inf,Inf,Inf,10759,Inf,"7413",0,1005,514,"1005514"
"58",Inf,Inf,Inf,10214,Inf,"7413",0,1005,514,"1005514"
"59",Inf,Inf,Inf,7590,Inf,"7413",0,1005,514,"1005514"
"60",Inf,Inf,Inf,10694,Inf,"7413",0,1005,514,"1005514"
"61",Inf,Inf,Inf,8581,Inf,"7413",0,1005,514,"1005514"
"62",Inf,Inf,Inf,9523,Inf,"7413",0,1006,514,"1006514"
"63",Inf,Inf,Inf,9294,Inf,"7413",0,1006,514,"1006514"
"64",Inf,Inf,Inf,8585,Inf,"7413",0,1006,514,"1006514"
"65",Inf,Inf,Inf,8238,Inf,"7413",0,1006,514,"1006514"
"66",Inf,Inf,Inf,7881,Inf,"7413",0,1006,514,"1006514"
"67",Inf,Inf,Inf,7285,Inf,"7413",0,1006,514,"1006514"
"68",Inf,Inf,Inf,7120,Inf,"7413",0,1006,514,"1006514"
"69",Inf,Inf,Inf,9376,Inf,"7413",0,1006,514,"1006514"
"70",Inf,Inf,Inf,8457,Inf,"7413",0,1008,514,"1008514"
"71",Inf,Inf,Inf,7514,Inf,"7413",0,1006,514,"1006514"
"72",Inf,Inf,Inf,8805,Inf,"7413",0,1008,514,"1008514"
"73",Inf,Inf,Inf,10358,Inf,"7413",0,1008,514,"1008514"
"74",Inf,Inf,Inf,9582,Inf,"7413",0,1010,514,"1010514"
"75",Inf,Inf,Inf,8943,Inf,"7413",0,1010,514,"1010514"
"76",Inf,Inf,Inf,8793,Inf,"7413",0,1010,514,"1010514"
"77",Inf,Inf,Inf,7187,Inf,"7413",0,1010,514,"1010514"
"78",Inf,Inf,Inf,9119,Inf,"7413",0,1010,514,"1010514"
"79",Inf,Inf,Inf,10494,Inf,"7413",0,1010,514,"1010514"
"80",Inf,Inf,Inf,9074,Inf,"7413",0,1011,514,"1011514"
"81",Inf,Inf,Inf,8647,Inf,"7413",0,1011,514,"1011514"
"82",Inf,Inf,Inf,8368,Inf,"7413",0,1011,514,"1011514"
"83",Inf,Inf,Inf,9705,Inf,"7413",0,1011,514,"1011514"
"84",Inf,Inf,Inf,9517,Inf,"7413",0,1011,514,"1011514"
"85",Inf,Inf,Inf,7432,Inf,"7413",0,1011,514,"1011514"
"86",Inf,Inf,Inf,9283,Inf,"7413",0,1011,514,"1011514"
"87",Inf,Inf,Inf,9783,Inf,"7413",0,1011,514,"1011514"
"88",Inf,Inf,Inf,9011,Inf,"7413",0,1011,514,"1011514"
"89",Inf,Inf,Inf,8578,Inf,"7413",0,1011,514,"1011514"
"90",Inf,Inf,Inf,10822,Inf,"7413",0,1011,514,"1011514"
"91",Inf,Inf,Inf,8863,Inf,"7413",0,1011,514,"1011514"
"92",Inf,Inf,Inf,9012,Inf,"7413",0,1011,514,"1011514"
"93",Inf,Inf,Inf,7117,Inf,"7413",0,1012,514,"1012514"
"94",Inf,Inf,Inf,7434,Inf,"7413",0,1012,514,"1012514"
"95",Inf,Inf,Inf,8231,Inf,"7413",0,1012,514,"1012514"
"96",Inf,Inf,Inf,8016,Inf,"7413",0,1012,514,"1012514"
"97",Inf,Inf,Inf,8063,Inf,"7413",0,1012,514,"1012514"
"98",Inf,Inf,Inf,8648,Inf,"7413",0,1012,514,"1012514"
"99",Inf,Inf,Inf,9924,Inf,"7413",0,1012,514,"1012514"
"100",Inf,Inf,Inf,8580,Inf,"7413",0,1012,514,"1012514"
