,Block_y,Tract,BID,Pdamage_avg,inv_dist_avg,Pdamage_PR,Efficiency_PR,SVI_PR_total,metric_sum,metric_PR
126,2039,516,2039516,0,0.032161396,0.327319588,0.159793814,0.621134021,0.428092784,0.389175258
128,2041,516,2041516,0,0.052485533,0.327319588,0.056701031,0.646907216,0.428092784,0.389175258
153,3018,514,3018514,0,0,0.327319588,0.739690722,0.469072165,0.425257732,0.381443299
147,3012,514,3012514,0,0,0.327319588,0.739690722,0.432989691,0.410824742,0.37628866
35,1016,515,1016515,0,0.079261663,0.327319588,0.025773196,0.597938144,0.405412371,0.371134021
172,3041,514,3041514,0,0,0.327319588,0.739690722,0.414948454,0.403608247,0.365979381
1,1000,515,1000515,0,0.06486569,0.327319588,0.041237113,0.585051546,0.401804124,0.358247423
41,1018,515,1018515,0,0.032258065,0.327319588,0.154639175,0.556701031,0.401804124,0.358247423
148,3013,514,3013514,0,0,0.327319588,0.739690722,0.407216495,0.400515464,0.350515464
44,1019,515,1019515,0,0.037392562,0.327319588,0.12371134,0.551546392,0.396649485,0.345360825
181,3050,514,3050514,0,0,0.327319588,0.739690722,0.386597938,0.392268041,0.340206186
124,2037,516,2037516,0,0.04062455,0.327319588,0.103092784,0.536082474,0.388402062,0.335051546
190,3061,514,3061514,0,0,0.327319588,0.739690722,0.37628866,0.38814433,0.329896907
127,2040,516,2040516,0,0.030232455,0.327319588,0.170103093,0.510309278,0.384793814,0.324742268
180,3049,514,3049514,0,0,0.327319588,0.739690722,0.329896907,0.369587629,0.319587629
171,3040,514,3040514,0,0,0.327319588,0.739690722,0.31443299,0.363402062,0.31443299
14,1008,515,1008515,0,0.016413692,0.327319588,0.381443299,0.396907216,0.36056701,0.306701031
111,2021,516,2021516,0,0.023344145,0.327319588,0.257731959,0.427835052,0.36056701,0.306701031
32,1015,515,1015515,0,0.038461538,0.327319588,0.108247423,0.463917526,0.360051546,0.298969072
177,3046,514,3046514,0,0,0.327319588,0.739690722,0.293814433,0.355154639,0.293814433
82,2006,516,2006516,0,0.01681266,0.327319588,0.365979381,0.381443299,0.352835052,0.288659794
64,1027,516,1027516,0,0.023429497,0.327319588,0.25257732,0.402061856,0.349742268,0.280927835
122,2035,516,2035516,0,0.047065941,0.327319588,0.087628866,0.443298969,0.349742268,0.280927835
166,3034,514,3034514,0,0,0.327319588,0.739690722,0.278350515,0.348969072,0.273195876
115,2024,516,2024516,0,0.04349023,0.327319588,0.092783505,0.43814433,0.348195876,0.268041237
106,2018,516,2018516,0,0.082890564,0.327319588,0.020618557,0.453608247,0.347164948,0.262886598
175,3044,514,3044514,0,0,0.327319588,0.739690722,0.273195876,0.346907216,0.257731959
125,2038,516,2038516,0,0.03386278,0.327319588,0.144329897,0.414948454,0.344072165,0.25257732
150,3015,514,3015514,0,0,0.327319588,0.739690722,0.262886598,0.342783505,0.24742268
183,3052,514,3052514,0,0,0.327319588,0.739690722,0.257731959,0.340721649,0.242268041
95,2012,515,2012515,0,0.021635034,0.327319588,0.278350515,0.365979381,0.337886598,0.237113402
137,2052,516,2052516,0,0.015877016,0.327319588,0.396907216,0.335051546,0.337371134,0.231958763
17,1009,516,1009516,0,0.022321429,0.327319588,0.273195876,0.360824742,0.335309278,0.226804124
161,3029,514,3029514,0,0,0.327319588,0.739690722,0.231958763,0.330412371,0.221649485
92,2010,516,2010516,0,0.02153721,0.327319588,0.283505155,0.340206186,0.328092784,0.216494845
100,2015,515,2015515,0,0.015592139,0.327319588,0.402061856,0.304123711,0.325515464,0.211340206
160,3028,514,3028514,0,0,0.327319588,0.739690722,0.219072165,0.325257732,0.206185567
173,3042,514,3042514,0,0,0.327319588,0.739690722,0.211340206,0.322164948,0.201030928
81,2006,515,2006515,0,0.029741379,0.327319588,0.180412371,0.350515464,0.321907216,0.195876289
133,2048,516,2048516,0,0.026392192,0.327319588,0.211340206,0.319587629,0.312628866,0.190721649
169,3038,514,3038514,0,0,0.327319588,0.739690722,0.170103093,0.305670103,0.18556701
130,2045,516,2045516,0,0.02504742,0.327319588,0.226804124,0.286082474,0.300773196,0.180412371
42,1018,516,1018516,0,0.029033865,0.327319588,0.195876289,0.286082474,0.297680412,0.175257732
97,2013,515,2013515,0,0.018843225,0.327319588,0.335051546,0.24742268,0.296134021,0.170103093
63,1027,515,1027515,0,0.049132708,0.327319588,0.077319588,0.304123711,0.293041237,0.164948454
140,3002,514,3002514,0,0,0.327319588,0.739690722,0.12628866,0.28814433,0.159793814
